[date] [pITEM_CLASS] [pITEM_NAME] [pITEM_VAL] [mITEM_CLASS] [mITEM_NAME] [mITEM_VAL] [totalSALARY] [totalCURRENT]
2020.08.04 Others START 8519 --- --- 0 0 8519
2020.08.05 Salary quanta 47552 --- --- 0 47552 56071
2020.08.06 --- --- 0 Withdraw bank 2000 47552 54071
2020.08.07 --- --- 0 Withdraw bank 1000 47552 53071
2020.08.12 --- --- 0 Others card 1207 47552 51864
2020.08.12 --- --- 0 Others card 754 47552 51110
2020.08.14 --- --- 0 Others card 333 47552 50777
2020.08.19 --- --- 0 Others card 33 47552 50744
2020.08.20 --- --- 0 Others card 30 47552 50714
2020.08.24 --- --- 0 Withdraw 7-11 1000 47552 49714
2020.08.26 --- --- 0 Others card 1010 47552 48704
2020.08.26 --- --- 0 Others card 500 47552 48204
2020.08.28 --- --- 0 Others card 953 47552 47251
2020.08.28 --- --- 0 Withdraw bank 1000 47552 46251
2020.08.31 --- --- 0 MonthlyPayment netflix 396 47552 45855
2020.08.31 --- --- 0 Withdraw bank 1000 47552 44855
2020.09.02 --- --- 0 Others starbucks 165 47552 44690
2020.09.04 Salary quanta 52423 --- --- 0 99975 97113
2020.09.04 Others bank 80 --- --- 0 99975 97193
2020.09.06 --- --- 0 Withdraw bank 1000 99975 96193
2020.09.07 --- --- 0 Withdraw bank 1000 99975 95193
2020.09.08 --- --- 0 Others icashpay 38 99975 95155
2020.09.10 --- --- 0 Others icashpay 18 99975 95137
2020.09.11 --- --- 0 MonthlyPayment GOGORO 499 99975 94638
2020.09.11 --- --- 0 Others STARBUKS 165 99975 94473
2020.09.11 --- --- 0 Others ICASH 147 99975 94326
2020.09.12 --- --- 0 Others toDAWHO 100 99975 94226
2020.09.12 --- --- 0 Withdraw 7-11 1000 99975 93226
2020.09.13 --- --- 0 Withdraw BANK 2000 99975 91226
2020.09.14 --- --- 0 Others THSR 240 99975 90986
2020.09.14 --- --- 0 Others ICASH 44 99975 90942
2020.09.14 --- --- 0 Others ICASH 41 99975 90901
2020.09.16 --- --- 0 Others LUISA 170 99975 90731
2020.09.16 --- --- 0 Others 7-11 47 99975 90684
2020.09.16 --- --- 0 Others ICASH 88 99975 90596
2020.09.17 --- --- 0 Others STEAM 410 99975 90186
2020.09.17 --- --- 0 Others ICASH 35 99975 90151
2020.09.18 --- --- 0 Others FOODPANDA 154 99975 89997
2020.09.18 --- --- 0 Others ICASH 35 99975 89962
2020.09.18 Deposit BANK 800 --- --- 0 99975 90762
2020.09.20 --- --- 0 Withdraw BANK 600 99975 90162
2020.09.21 --- --- 0 Others ICASH 44 99975 90118
2020.09.22 --- --- 0 Others ICASH 35 99975 90083
2020.09.22 --- --- 0 Others ICASH 57 99975 90026
2020.09.23 --- --- 0 Others ICASH 35 99975 89991
2020.09.24 --- --- 0 Withdraw BANK 1000 99975 88991
2020.09.25 --- --- 0 Withdraw DAWHO 20000 99975 68991
2020.09.25 --- --- 0 Withdraw BANK 600 99975 68391
2020.09.30 Salary QUANTA 54137 --- --- 0 154112 122528
2020.09.30 Bonus QUANTA 2000 --- --- 0 156112 124528
2020.10.01 --- --- 0 Others FATHER 3000 156112 121528
2020.10.03 --- --- 0 Withdraw BANK 600 156112 120928
2020.10.11 --- --- 0 Withdraw BANK 700 156112 120228
2020.10.14 --- --- 0 Others CARD 142 156112 120086
2020.10.14 --- --- 0 Others CARD 132 156112 119954
2020.10.16 --- --- 0 MonthlyPayment UBEAR_CREDIT 17117 156112 102837
2020.10.17 --- --- 0 Others DAWHO 50000 156112 52837
2020.10.17 --- --- 0 Withdraw toSAM 390 156112 52447
2020.10.19 --- --- 0 MonthlyPayment MGGR_CREDIT 499 156112 51948
2020.10.22 Bonus QUANTA_profit 5650 --- --- 0 161762 57598
